# HEXA ecosystem package registry — tab-separated, zero external deps
# Format: name<TAB>version<TAB>entry<TAB>repo<TAB>local<TAB>desc
# Columns:
#   name    — package name (kebab-case)
#   version — semver
#   entry   — executable entry relative to package root
#   repo    — git clone URL (empty if local-only)
#   local   — local path relative to pkg/ (empty if git-only)
#   desc    — one-line description
#
# Replaces pkg/registry.json — pure-bash readable, no python/jq needed.
# Lines starting with # are comments. Blank lines ignored.

airgenome	0.1.0	run.hexa	https://github.com/need-singularity/airgenome		Mac activity → hexagon gate → 60-byte genome menubar monitor
nexus	2.0.0	cli/run.hexa	https://github.com/need-singularity/nexus		Perfect number engine — cli/run.hexa canonical (drill/thinking/smash/absolute/status)
void	0.2.0	bin/void	https://github.com/need-singularity/void	/Users/ghost/core/void	AI-native terminal — ghostty fork (zig+swift), P1 grid-mode, need-singularity hexagon icon
anima	0.2.0	launch.hexa	https://github.com/need-singularity/anima		AI consciousness engine — 10 L0 cores, n6 42/42, CLI keyboard+ticks+emit
hexa-lang	1.0.0	hexa	https://github.com/need-singularity/hexa-lang		HEXA programming language — self-host compiler + interpreter (src/ deleted 2026-04-11)
hexa	1.0.0	hexa	https://github.com/need-singularity/hexa-lang	/Users/ghost/Dev/hexa-lang	HEXA interpreter bootstrap — bin/build.hexa 로 hexa_cc→hexa_v2→stage0 자동 빌드 후 $HX_BIN/hexa 설치
hive	0.70.1	bin/hive	https://github.com/need-singularity/hive	/Users/ghost/core/hive	pi-agent-core fork — AI-agent swarm. Root = hive/main on need-singularity/hive. Ships coding-agent CLI (bin/hive auto-builds on first run).
yoga	3.2.1	build/yoga-cli	https://github.com/facebook/yoga	/Users/ghost/Dev/hexa-lang/lib/yoga	Facebook Flexbox layout engine — JSON CLI wrapper (echo spec | yoga-cli layout)
qmirror	2.0.0	cli/qmirror.hexa	https://github.com/need-singularity/qmirror		Quantum Mirror — classical-CPU + ANU QRNG + Aer simulator. 8/8 closure cond met (CHSH/IIT/NIST/cross-vendor). Apache-2.0.
sim-universe	1.0.0	cli/sim-universe.hexa	https://github.com/need-singularity/sim-universe		Virtual universe simulation runtime — anu_time τ-clock + multiverse interferometer + ouroboros QRNG + Bostrom test + Gödel-Q mutator + qpu_bridge. Toy lattice models w/ QRNG entropy injection (raw#10 honest C3); ~4800 LoC sim core, 10 modules + sim_agent surface. Apache-2.0.
hexa-bio	1.0.0	cli/hexa-bio.hexa	https://github.com/need-singularity/hexa-bio		Molecular Toolkit (HEXA family) — 4 verbs (WEAVE/NANOBOT/RIBOZYME/VIROCAPSID) on n=6 invariant lattice (σ=12, τ=4, φ=2, J₂=24). 1/4 wired (weave: Caspar-Klug + Zlotnick cage assembly + Bayesian audit, posterior 0.97). 3/4 stubs with falsifier preregister (raw#10 honest C3). Apache-2.0.
honesty-monitor	1.0.0	cli/honesty-monitor.hexa	https://github.com/need-singularity/honesty-monitor		AI honesty-bit falsifier — online detector for BT-AI2 contract violations (F-AI2-A: claimed PASS but loss diverged ≥5%; F-AI2-B: claimed FAIL but within 1%). Pure-stdlib observe()/snapshot() API; zero runtime deps; deterministic boundary brackets. Extracted from nexus 2026-05-04 (audit rank 2, score 9 — AI alignment publishable potential). Apache-2.0.
anima-agent	1.0.0	cli/anima-agent.hexa	https://github.com/need-singularity/anima-agent		Consciousness-driven autonomous agent runtime (HEXA family) — Φ-gated tool policy (T0..T5 escalation), multi-channel (CLI/Telegram/Discord/Slack/MCP 9 tools), pluggable providers (Claude/ConsciousLM/Composio 500+ tools) and engines (trading 105+ strategies/hypothesis/regime/sentiment), auto-save + Prometheus metrics + Next.js dashboard bridge. ~20k LoC across 117 hexa files (raw#9 STRICT 0 .py at standalone surface). Extracted from anima/anima-agent 2026-05-04 (5th publishable HEXA-family sister). Apache-2.0.
qrng	1.0.0	cli/qrng.hexa	https://github.com/need-singularity/qrng		Quantum Random Number Generator (HEXA family) — 5-source provider registry (curby Bell-test verified + ANU vacuum-fluctuation + NIST Beacon 2.0 ECDSA-signed mixed entropy + IDQ Quantis PCIe/ESP32 serial + LCG fallback). Tier coverage T0..T3 with config-driven router fallback chain. 4 abstraction modules (source/registry/router/qrng_main). 1593 LoC pure-hexa (raw#9 STRICT, ZERO Python deps). Extracted from nexus/modules/qrng + nexus/core/qrng 2026-05-04 (audit rank 7, score 7; modularity 2→1 demotion remediated by fresh tests/ + README at extraction). Apache-2.0.
mc-integrate	1.0.0	cli/mc-integrate.hexa	https://github.com/need-singularity/mc-integrate		Productized callable Monte Carlo numerical integrator (HEXA family) — estimates Catalan G, Apéry ζ(3), Euler–Mascheroni γ, π⁵×6 (BT-209 m_p/m_e identity reference) with PASS/NEAR/FAIL gates @ 1e-3 / 5e-3. Welch-t indistinguishability + df-aware critical-t (NIST/SEMATECH §1.3.6.7.2; Bevington-Robinson Table C.2; linear interp) + Wilson-Hilferty p-value. LCG = Numerical Recipes (1664525 / 1013904223 / 2³¹−1 Mersenne prime). 4-tier ANU bootstrap (env / sim-universe sibling / nexus-legacy / urandom fallback). Pure-stdlib hexa; zero runtime deps; deterministic core. Extracted from nexus/modules/mc_integrate 2026-05-04 (audit rank 8, score 8 — dual-home blocker resolved Phase 1; 6th publishable HEXA-family sister; unblocks multiverse_nav rank 9). Apache-2.0.
